f1-score,precision,recall,support
0.8636363636363636,0.76,1.0,19.0
0.0,0.0,0.0,6.0
0.76,0.76,0.76,25.0
0.4318181818181818,0.38,0.5,25.0
0.6563636363636364,0.5776,0.76,25.0
